date,developerResponse,review,rating,isEdited,userName,title,sentiment,,,,,
2/27/2021 13:25,"{'id': 21403630, 'body': ""Hi there! Thank you so much for your love! Your review inspires our team to grow and become one of the best budgeting apps. Please, reach out anytime at support@pocketguard.com if you'd like to share any thoughts or have any questions about the app. Have a wonderful day."", 'modified': '2021-03-02T17:10:27Z'}","Let me tell you- all of the previous reviews are old. I’ve been on this app for the since 2019 & will honestly be here until I die. Hoping it lasts that long. 🙏🏽 I’ve been searching for a way to understand my spendings between categories, month over month & watching my budget. This is everything & more. I love the personalization that I can add my own catergories, mark a specific merchant as something once and never have to touch it again & even exclude things like transactions between my accounts. This is the app if you’re anal about how you spend your money & it even helps if I want to budget for let’s say shopping. I love it. Please note I am a premium user & to me it’s worth it. But I’m sure the free version is equally as good. The other apps mint, your bank, random ones only work if you have a goal. But for me, I want to know where, what & compare my spendings month over month so I can see how I’m doing. Or if I need to stop spending! 

Anyway highly recommend. And two last things- 1) they’re IT or support literally responds within 48 hours. You’re never left hanging and no question is stupid. 2) the app is constantly evolving. It’s not the same as it was two years ago, it’s better! If there’s a bug, report it! If you have a suggestion, suggest it! I love all the latest updates & it really helps me think of how I’m spending my money which was my ultimate goal. Thank you!!",5,FALSE,LiveLiv14,Going on 2+ years: you will not regret,positive,,,,,
12/17/2022 14:29,"{'id': 34014529, 'body': 'Hi there! Thank you for the fantastic review! Our team is pleased to hear you enjoy using our application for your budgeting needs. Feel free to contact us at support@pocketguard.com if you have any suggestions or questions. Have a great day!', 'modified': '2022-12-30T15:52:33Z'}","I’ve literally never written a review for an app before, but I had to because I felt so strongly about the quality of this app. I used mint for a long time bc it was free and got the job done, but recently, Mint stopped supporting my bank (USAA). So, I was on the market for a new budgeting app and stumbled upon PocketGuard. I have to say, I’m extremely impressed. I love the ability to save for my goals without having to think about it. I love how it calculates my estimated monthly income so that I don’t have to do the mental math when it comes to budgeting. I love the notifications it gives me when I spend too much on a particular category. I love the customizable budget categories (not an option under Mint). This is truly the greatest budgeting app I’ve ever used, and I’ve been budgeting my money very persistently for about a decade now. Also, the customer service is probably the best I’ve ever come into contact with, across any business or platform. You have a question? Email them and you’ll get a response back within 24 hours. In fact I emailed them once with a question and received a response back within 30 minutes. Overall, this is a fantastic budgeting app and I couldn’t recommend it more.",5,FALSE,c.lake,The best budgeting app,positive,,,,,
7/26/2022 19:48,"{'id': 23671103, 'body': 'Hi there! Thanks for your feedback. Please, contact us at support@pocketguard.com and specify the name of the financial institution where your checking account keeps disconnecting. Also, it would be extremely helpful if you could send us the merchant name and the categorization rule applied to this merchant, so we could investigate the issue further. Hope for your understanding.', 'modified': '2021-06-30T08:44:38Z'}","I’ve tried 5 or 6 apps over the years. PocketGuard is the best. I like that I can just assess daily spending, not investments. It is easy enough to use that I do use it, and catching up is easy if I get behind. The team responds to questions quickly and have always answered my questions. There is one merchant that entries frequently default to, even when they are repeated expenditures that PocketGuard should have learned by now. I would like to see a yearly view of my spending categories in addition to monthly; hopefully that is planned. One small thing I would like is to see a number for total food (groceries and eating out combined) somewhere. I am always tracking that, as it’s the most important area to control. I really like the split transaction feature they added. Overall, PocketGuard has made a dramatic difference in understanding my spending and controlling it. I think I’ve used it for 4 years now and that’s a record for any financial app except Excel or a brokerage site.",5,TRUE,tropicdream,Best Financial App I’ve Used,positive,,,,,
10/15/2024 17:15,"{'id': 47607577, 'body': 'Hello, thank you for your thoughtful feedback! We are truly sorry for the persistent challenges with bank syncing. These issues often occur when banks implement updates to their systems or security protocols, which can disrupt our integration. Additionally, we collaborate with data providers to facilitate syncing with multiple financial institutions, and they may experience delays while adjusting to these changes. We recognize how inconvenient this can be and are working closely with our data providers to improve the stability of these connections. Thank you for your patience and for being a valued customer.', 'modified': '2024-10-21T20:51:07Z'}","The app overall is great and their customer support is quick to respond. I love that it helps get basic budgeting answers done. My biggest problem is the lack of compatibility with other banks. For months, my Marcus accounts refused to sync, and even though Pocketguards customer service was responsive, the issue took literal months to fix. Everything worked fine for another two months, and then my local bank stopped syncing, and the customer service gave me the same response.

I appreciate the communication and hard work, but when your banks constantly don’t sync with the app, the app becomes ineffective. Whenever the app finally reconnects to my bank, I’ll have to go back and play catch-up on all my transactions while operating in the dark in the mean time. Now, with this happening twice, I’ll just be paranoid when the next time one of my banks no longer syncs up with PocketGuard. 

Again, it’s a good app, so maybe I’m just unlucky, but when your app doesn’t sync with the banks, it becomes pointless, especially when you spend a large chunk of money on the app itself.",3,FALSE,Upton21,Clunky but effective,positive,,,,,
2/2/2024 2:42,"{'id': 41809132, 'body': 'Hi there! Thank you very much for your valuable feedback! Our team is so pleased to hear that your family enjoys the app. By the way, it would also be helpful if you could rate us on Trustpilot: https://www.trustpilot.com/review/pocketguard.com', 'modified': '2024-02-07T08:27:53Z'}","Can I just start off by saying I downloaded and tried using so many budgeting apps. I did lots of research to find the best rated apps and tried them all. I found this app and I will never look back! 
I needed a budgeting app that would track my spending, track my savings goals, and clearly show me where I was going over. This app does it all. I also do a lot of transferring money from one account to another, I’ve had trouble tracking this on other apps. PocketGuard let’s you easily hide transfers so they don’t confuse your budget. Same goes for credit card payments or other random charges I don’t want counted towards my spending or savings goals. The app also gives you a breakdown of your month with pie charts and statistics. It also lays out all the information I need in a clear way that makes it easy to understand. My husband and I both love this app and plan on using it for many years to come.",5,FALSE,ehoov5,The BEST budgeting app out there,positive,,,,,
1/15/2024 8:47,"{'id': 41354594, 'body': 'Hi there! Thank you very much for your amazing 5-star review! Our team would so much appreciate it if you could also share your love on our Trustpilot account. You can simply mark your CC transfers (payments from one account to another) as ""don\'t count"" to exclude them from the calculation, but if you still would like to count those as expenses, you can include your debit transaction in calculations to deduct from your In My Pocket. Feel free to contact us at support@pocketguard.com in case of any concerns or questions.', 'modified': '2024-01-17T20:27:00Z'}","I’ve tried all the budgeting apps and felt that each one was missing a key feature that others had, but none had everything. I was just about to compromise and settle for one, but luckily I tried PocketGuard! If you took only the good features from all of the different budgeting apps and packaged them together perfectly, then you’d have PocketGuard! It has really helped me to see my spending habits, especially as a recovering “swipe now, worry later” kind of spender. Never trying anything else again and their prices are also much more affordable than other apps! 

One feature I’d love to see though is the option for credit card payment due amounts being included as a bill. That way I can budget for money leftover after bills + cc payments needed. I know this isn’t useful for those that don’t carry balances, but for those of us that do, this would make budgeting so much more accurate.

Say you pull the minimum payment amount from each statement as they’re issued (since the amount can vary month to month) and it would show up as an Upcoming Bill and also deducted from In My Pocket. I’d also like to see the ability to mark smaller payments throughout the month as amounts towards the minimum payment amount so it shows the remaining.

Thanks and excited to see future updates!",5,FALSE,loveguardianofpocket,Phenomenal and Life Changing!,positive,,,,,
11/3/2024 5:32,"{'id': 48004952, 'body': ""Hi, and thank you for bringing this to our attention. We understand how concerning it must be. While we’re working closely with our data provider to fix the sync issue, we want to acknowledge your question about deleting the bank connection. If you decide to proceed, please be aware that this will remove all transaction history and custom settings tied to that bank. If you'd like to discuss this further or explore alternative solutions, please contact us at support@pocketguard.com. The team would be happy to assist you in making the best choice for your needs."", 'modified': '2024-11-06T22:07:03Z'}","PocketGuard has acknowledged that an issue with their data provider is causing a sync problem with one of my banks. This started more than a week ago. The impact of this issue is that the bank is locking me out every single day   due to failed login attempts. The app does not provide an option to delete banks. After asking support how to delete the back and getting no acknowledgement of the question, I discovered on my own that you can log in to the website through a browser to delete banks. However, the delete option is grayed out on the bank with the sync issue.

Tech support just tells me they’re working on it, no ETA, they’ll let me know when they learn something, but does not acknowledge my question any deleting that bank so I stop getting locked out while they work on it. This is completely unacceptable. 

I generally like the app, but it’s not worth being locked out by banks.",1,FALSE,Nia_1,Keeps locking me out of my bank,negative,,,,,
3/11/2022 14:10,"{'id': 28588786, 'body': 'Hi Claire! We are so much happy that both you and your husband found PocketGuard helpful in your budgeting needs.\r\n\r\n1) Our team has already started working on the big update regarding category budgets. Your voice has been heard. \r\n2) Please, contact us at support@pocketguard.com, so we could send you detailed instructions on how to handle this case.\r\n3) This case should be reported to our data aggregation provider, so please contact us at support@pocketguard.com once the posted transactions will be missing from the app again.\r\n\r\nHave a great day!', 'modified': '2022-03-15T15:27:19Z'}","This app has made it so easy to see where our money has gone and is going to go. My new husband and I decided to share accounts and we were struggling to relax into that after independently controlling our finances for so long… this has made it so much easier! I had to contact customer support one time and they were incredibly prompt and helpful. I knocked off a star because I wish it was able to do the following (but would have only knocked off only half a star if it was an option):

1) I wish you could choose to carry over unspent budgets to the next month. ie If I underspend this month on ‘home’, the budget is bigger the following month to purchase a more expensive item.

2) I wish it could learn and adapt. We pay two bills to Banfield Pet Plan each month that come up as BP. When we buy gas from BP, it goes into bills because it think it’s the same. So a couple of times a month, I have to manuallly change names and categories - sometimes I have to re-enter the banfield bills and then, when they are paid, they don’t register as the ones planned. This is a niche and minor issue but slightly annoying nonetheless.

3) I wish it was a little more prompt in identifying new transactions. Sometimes the banking app will detail transactions as no longer pending and it’ll take a day or two for them to appear on PocketGuard.

These are minor things that I’d like the developers to consider BUT overall I love this app!",4,FALSE,Claireh703,So useful!,positive,,,,,
2/5/2024 20:12,"{'id': 41756580, 'body': 'Hi there! Sorry for the inconvenience. Seems like you were running out of daily available connection attempts. This restriction is made to prevent fraud attacks like credential stuffing. One of our main goals is to guarantee the security of your financial information. Regarding syncing issues - please contact us at support@pocketguard.com, so we can analyze your case and troubleshoot. Hope for your understanding.', 'modified': '2024-02-05T10:41:48Z'}","I used to love this app. Tracking was amazing but over the last few mo thank keep getting issues with updating or it deleting my info. I tried to connect my bank I don’t keep getting error messages then it tells me I got to wait 24 hours to check again. Or Info not updating at all. I’m over it I will spend my money else where.

PS. I ran out of daily available attempts because your system wouldn’t allow me. When I tried it would say oops try again and when I didn’t said I ran out. I find it funny that some one could respond to the review but no one has ever emailed me back about the issue I contacted you guys about. No worries, I have already cancelled my subscription and found another app.",1,TRUE,Laedie,Another Use to Be,negative,,,,,
1/30/2021 11:48,,"As many people have said it that the app is very good. It logs for most parts of it accurately all the expenses better than other budgeting apps. However where it lags really behind is that they have not figured out a good partnership with the major banks and credit cards on how to get the synchronization perfected to be able to download the transactions seamlessly. I have problems with PNC and American Express. These are two bigger reputable institutions. I hope pocketguard really talks with those institutions and gets this fixed.

If they can get it fixed which I don’t see why they can’t  I will surely give them 5 stars. It’s like the restaurant has a very good atmosphere but if the food is bad somebody may not want to go back. Similarly the app is super good however if the synchronization keeps failing time to time people are going to have to decide and leave because without the transactions being able to be downloaded the app is no good which is so good in other ways. Please please fix. I am counting on PoxketGuard to come through it. Thanks",3,FALSE,Urmez,Great app but accounts don’t sync,positive,,,,,
